id,age,gender,area,status,education,consuptionAbility,device,work,connectionType,behavior
84,6,,,,,,,,,
85,,,1,,,,,,,
86,7,,,,,,,,,
87,9,1,,,,,,,,23
88,31,,,,,,,,,
89,,,1,,,,,,,
90,17,,54,,,,,,,
91,21,,1,,,,,,,
92,,,,,,,,,,
93,7,,,,,,,,,
94,,,1,,,,,,,
95,14,,56,,,,,,,
96,4,,3,,,,,,,221
97,4,,,,,,,,,
98,5,,,,,,,,,
99,38,,,,,,,,,
100,975,,11,,,,,,2,4
101,8,,1,,,,,,,
102,28,1,66,,,,,,,38
103,11,,1,,,,,,,
104,7,1,81,,5,,,,,
105,14,,,,,,,,,
106,16,,4,,,,,,,
107,3,,56,,,,,,,
108,,,1,,,,,,,
109,12,,,,,,,,,
110,,,,,,,,,,
111,7,1,556,,,,2,,,9
112,5,,,,,,,,,
113,6,,1,,,,,,,
114,9,,54,,,,,,,
115,,,1,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,28,1,56,,,,,,,18
119,,,104,,,,,,,
120,31,,,,,,,,,
121,17,,1,,,,,,2,35
122,10,,,,4,,,,2,21
123,19,,,,,,,,,
124,3,,20,3,4,1,,,,8
125,31,,,,,,,,,
126,13,,1,,,,,,,
127,,,,,,,,,,
128,,,1,,,,,,,
129,31,,,,,,,,,
130,21,,20,3,4,1,,,,8
131,3,,,,,,,,,
132,35,,56,,,,,,,
133,36,,1,,,,,,,
134,6,1,16,,,,,,,73
135,20,,,,,,,,,
136,31,,,,,,,,,
137,17,,198,3,,,,,,22
138,9,,,,,,,,,
139,12,,,,,,,,,
140,31,,,,,,,,,
141,10,,,,,,,,,
142,31,,,,,,,,,
143,29,,,,,,,,,
144,38,,,4,5,,,,,
145,4,1,4,3,,,,,,
146,13,,,,,,,,,
147,13,,,,,,,,,
148,4,,,,,,,,,
149,11,,1,,,,,,,
150,24,,,,,,,,,
151,27,1,12,,,,,,2,2
152,31,,,,,,,,,
153,19,,,,,,,,,
154,31,,,,,,,,,
155,10,,,,4,,,,2,19
156,6,,11,,,,,,2,4
157,31,,,,,,,,,
158,21,,1,,,,,,,
159,37,,,,,,,,,
160,13,,1,,,,,,,
161,5,,1,,,,,,,
162,21,,,,,,,,,
163,,,4,,,,,,,
164,,,,,,,,,,
165,17,1,201,,3,1,3,,4,13
166,12,,,,,,,,,
167,30,,,,,,,,,
168,22,,1,,,,,,,
169,2,1,3,6,,,,,,
170,14,,,,,,,,,13
171,,,1,,,,,,,
172,8,,60,,,,,,,
173,,,60,,,,,,,
174,22,1,94,,,,,,,
175,11,,1,,,,,,,
176,7,,3,,,,,,,
177,20,,,,,,,,,
178,18,,1,,,,,,,
179,10,1,94,,,,,,,
180,31,,1,,,,,,,
181,,,,,,,,,,
182,12,,1,,,,,,,
183,27,,52,,,,1,,2,
184,8,,,,4,,,,2,61
185,31,,,,,,,,,
186,,,394,,,,,,,
187,20,,,,,,,,,
188,17,,1,,,,,,,
189,32,1,,3,,,1,,2,
190,,,394,,,,,,,
191,14,,56,,,,,,,
192,31,,,,,,,,,
193,31,,,,,,,,,
194,10,,,,,,,,,
195,,,,,,,,,,
196,20,1,1,,,,,,,
197,,,,,,,,,,
198,,,1,,,,,,,
199,976,,2,,,,,,,10
200,12,,,,,,,,,
201,,,,,,,,,,
202,37,,,,,,,,,
203,31,,,,,,,,,
204,2,,1,,,,,,,
205,9,,,,,,,,,
206,7,,,,,,,,,
207,8,,,,,,,,,
208,975,1,,,,,,,,
209,17,1,18,,,,,,,6
210,34,,1,2,,,,,,
211,6,1,16,,,,,,,73
212,,,130,,,,,,,
213,22,,1,1,,,,,,8
214,,,1,,,,,,,
215,14,,,,,,,,,
216,23,,32,,4,,,,,44
217,37,,12,,,,,,,
218,,,1,,,,,,,
219,31,,,,,,,,,
220,,,128,,,,,,,
221,18,1,3,,,,,,,43
222,10,,80,,,,,,,26
223,16,,,,,,,,,
224,11,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,34,,29,,5,,,,,
228,31,,,,,,,,,
229,31,,,,,,,,,
230,13,,1,,,,,,,
231,,,1,,,,,,,
232,23,,3,,4,,,,,
233,18,,2,3,,,,,2,
234,31,,,,,,,,,
235,5,,,,,,,,,
236,,,,1,,,,,,6
237,19,,2,,,,,,,
238,,,,,,,,,,
239,9,,,,,,,,,
240,9,,1,,,,,,,
241,10,,1,,,,,,,
242,10,,,,,,,,,
243,31,,,,,,,,,
244,7,,,,,,,,,
245,5,,,,,,,,,
246,15,,1,,,,,,,
247,19,,,,,,,,,
248,34,,1,2,,,,,,
249,15,1,42,,,,,,,
250,18,,17,8,,,,,2,12
251,,,,,,,,,,
252,32,,394,,,,,,,20
253,,,1,,,,,,,
254,11,,,,,,,,,
255,34,,3,,4,,,,,
256,31,,,,,,,,,
257,,,1,,,,,,,
258,4,1,1,,5,,,,2,96
259,20,,,,,,,,,
260,19,,,,,,,,,
261,31,,,,,,,,,
262,8,,93,,,,,,,4
263,29,,64,,,,,,,
264,16,,,,,,,,,
265,5,,,,,,,,,
266,22,,1,,,,,,,8
267,31,,,,,,,,,
268,10,,1,,,,,,,
269,42,1,1,,,,,,,
270,31,,,,,,,,,
271,19,,,,,,,,,
272,7,,3,,,,,,,
273,23,,4,5,3,,,,3,45
274,25,,3,,,,,,,
275,25,,1,,,,,,,
276,21,,,,,,,,,
277,,,1,,,,,,,
278,,,394,,,,,,,
279,13,,72,,,,,,,
280,,,96,,,,,,,
281,31,,,,,,,,,
282,,,1,,,,,,,
283,15,,1,,,,,,,
284,,,1,,,,,,,
285,31,,,,,,,,,
286,34,,,,,,,,,
287,35,,1,,,,,,,
288,3,,1,,,,,,,
289,41,,1,,,,,,,
290,,,1,,,,,,,
291,6,,,,,,,,,
292,36,,5,,,,,,,29
293,8,,,,,,,,,
294,12,,62,,,,,,,
295,,,64,,,,,,,
296,,,1,,,,,,,
297,4,,2,,,,,,,7
298,,,,,,,,,,
299,52,1,62,,4,,,,2,52
300,,,12,,,,,,,
301,,,,,,,,,,
302,17,1,1,,,,,,,83
303,27,1,31,,,,,,,53
304,,,1,,,,,,,
305,2,,1,,,,,,,
306,27,1,1,,,,,,,
307,6,1,42,,,,,,,
308,,,,,,,,,,
309,15,,,,,,,,,
310,,,394,,,,,,,
311,6,,4,,,,,,,11
312,4,,,,,,,,,
313,24,,2,,,,,,,
314,3,,,,,,,,,
315,965,,31,,,,,,,
316,8,1,94,,,,,,,
317,31,,,,,,,,,
318,977,,2,,,,,,,25
319,4,,1,,,,,,,8
320,,,60,,,,,,,
321,42,1,201,,3,1,3,,4,13
322,34,,1,2,,,,,,
323,31,,,,,,,,,
324,31,,,,,,,,,
325,9,,29,,,,,,,54
326,25,,60,,,,,,,34
327,32,1,13,,,,,,,
328,,,,,,,,,,
329,4,,,,4,,,,2,30
330,5,,1,,,,,,,
331,6,,56,,,,,,,
332,10,1,50,,,1,,,,
333,9,1,,,,,,,,23
334,9,,1,,,,,,,
335,,,,,,,,,,
336,10,,1,1,,,,,,8
337,31,,,,,,,,,
338,34,,54,,5,,,,,
339,29,,3,,,,,,,
340,,,1,,,,,,,
341,11,,,,,,,,,
342,,,,,,,,,,
343,,,,,,,,,,
344,,,,,,,,,,
345,6,,,,,,,,,
346,,,,,,,,,,
347,15,,1,,,,,,,
348,31,,,,,,,,,
349,16,,1,,,,,,,
350,8,1,201,,3,1,3,,4,13
351,31,,,,,,,,,
352,38,,2,,3,,,,,8
353,11,,20,,,,,,,29
354,17,,198,3,,,,,,22
355,31,,,,,,,,,
356,9,,,,,,,,,
357,10,,,,4,,,,2,21
358,12,,32,,4,,,,,44
359,31,,,,,,,,,
360,4,,46,3,,,,,,42
361,11,,47,,,,,,,31
362,24,,,,,,,,,
363,29,,80,,,,,,,26
364,,,1,,,,,,,
365,31,,,,,,,,,
366,,,1,,,,,,,
367,,,1,,,,,,,
368,975,,3,,,,,,,6
369,22,,,,,,,,,
370,25,,,,,,,,,
371,31,,,,,,,,,
372,27,,1576,,,,,,,13
373,,,,,,,,,,
374,31,,,,,,,,,
375,15,,,,,,,,,
376,20,,1,,,,,,,
377,22,1,94,,,,,,,
378,,,,,,,,,,20
379,5,,1,,5,,,,2,96
380,,,,,,,,,,
381,,,,,,,,,,
382,32,,4,,,,,,4,
383,4,,2,3,,,,,2,
384,6,,54,,5,,,,,
385,33,,1,,,,,,,
386,,,1,,,,,,,
387,,,1,,,,,,,
388,20,,2,,3,,,,,8
389,2,1,6,4,,,,,,
390,11,,,,,,,,,
391,,,60,,,,,,,
392,,,1,,,,,,,
393,,,,,,,,,,
394,,,,,,,,,,
395,7,1,3,,,,,,,43
396,,,474,,,,,,,
397,33,,,,,,,,,3
398,,,,,,,,,,
399,17,1,1,,,,,,,83
400,,,1,,,,,,,
401,3,,1,,,,,,,
402,,,394,,,,,,,
403,31,,,,,,,,,
404,25,,12,6,,,,,,5
405,4,,,,,,,,,
406,,,,,,,,,,
407,39,,1,,,,,,,
408,,,394,,,,,,,44
409,31,,,,,,,,,
410,,,,,,,,,,
411,31,,,,,,,,,
412,6,,2,,2,,,,,
413,12,1,,,,,,,,
414,8,,,,,,,,,
415,6,,1,,,,,,3,11
416,6,,,,,,,,,7
417,,,1,,,,,,,
418,11,,3,,,,,,,5
419,7,1,68,,,,,,,77
420,7,,,,,,,,,
421,19,,,,,,,,,
422,36,,5,,,,,,,29
423,31,,,,,,,,,
424,25,,,,,,,,,
425,19,,,,,,,,,
426,16,,2,,,,,,,
427,,,,,,,,,,
428,16,,2,,,,,,,
429,31,,,,,,,,,
430,,,,,,,,,,
431,10,,,,4,,,,2,61
432,8,,1,,,,,,,
433,20,,2,,3,,,,,8
434,11,,1,,,,,,,
435,19,,2,,,,,,,10
436,,,1,,,,,,,
437,19,1,4,,,,,,,6
438,24,,,,,,,,,
439,,,1,,,,,,,
440,17,,,,,,,,,
441,22,,1,1,,,,,,8
442,975,,11,,,,,,,
443,26,,1,,,,,,3,11
444,3,,,,,,,,,
445,6,,1,,,,,,,
446,,1,201,,3,1,3,,4,13
447,,,394,,,,,,,
448,31,,,,,,,,,
449,4,,1,,,,,,,
450,6,,4,,,,,,,11
451,24,,,,,,,,,
452,,,1,,,,,,,
453,31,,,,,,,,,
454,16,,4,,,,,,,
455,21,,1,,,,,,,2
456,15,,10,,,,,,,
457,7,,,,,,,,,
458,44,1,81,,5,,,,,
459,6,,,,,,,,,
460,,,394,,,,,,,
461,,,,,,,,,,
462,19,,46,3,,,,,,42
463,,,1,,,,,,,
464,31,,,,,,,,,
465,12,1,,,,,,,,
466,31,,,,,,,,,
467,7,,1,,,,,,,
468,6,,1,,,,,,,
469,22,,,,,,,,,
470,,,1,,,,,,,
471,29,,1,,,,,,,
472,9,,4,,5,,,,,18
473,19,,1,,,,,,,
474,,,1,,,,,,,
475,12,,,,,,,,,
476,31,,,,,,,,,
477,,,,,,,,,,
478,10,,1,,,,,,,
479,23,,,,,,,,,
480,7,1,,,,,,,,7
481,,,64,,,,,,,
482,2,1,6,4,,,,,,
483,27,,32,,,,,,2,
484,8,,1,,,,,,,
485,,,,,,,,,,
486,6,,,,,,,,,
487,31,,,,,,,,,
488,29,,394,,,,,,,
489,5,,27,,,,,,,7
490,,,1,,,,,,,
491,33,,1,,,,,,,
492,,,,,,,,,,
493,12,,2,,,,,,,
494,3,1,25,,,,,,2,24
495,17,,1,,,,,,,
496,42,,2,,,,,,,
497,31,,,,,,,,,
498,12,,,,,,,,,
499,11,,10,,6,,,,,
500,25,,2,,3,,,,,8
501,,,,,,,,,,
502,9,,,,,,,,,
503,9,,,,,,,,,
504,,,1,,,,,,,
505,31,,,,,,,,,
506,,,1,,,,,,,13
507,,,,,,,,,,
508,38,,2,,3,,,,,8
509,10,1,94,,,,,,,
510,12,,1,,,,,,,
511,18,,2,,,,,,,75
512,,,,,,,,,,
513,,,,,,,,,,
514,10,,1,,,,,,,
515,10,,,,,,,,,
516,,,,,,,,,,
517,,,,,,,,,,
518,16,,2,,,,,,,25
519,31,,,,,,,,,
520,5,,,,,,,,,
521,7,,1,,,,,,,
522,11,,,,,,,,,
523,4,,1,,,,,,3,11
524,11,,1,,,,,,3,11
525,32,,1,,,,,,,13
526,15,,,,,,,,,
527,,,,,,,,,,
528,7,,3,,4,,,,,
529,16,,1,,,,,,,
530,,,128,,,,,,,
531,37,,124,,,,,,,
532,31,,,,,,,,,
533,31,,,,,,,,,
534,6,,32,,,,,,,
535,7,,,,,,,,,
536,,,25,,,,,,,
537,10,,1,,,,,,,11
538,9,,,,,,,,,
539,12,,60,,,,,,,34
540,5,,3,,,,,,,
541,6,1,1,,4,,,,,34
542,6,,44,3,,,,,,22
543,15,,,,,,,,,
544,35,1,201,,3,1,3,,4,13
545,9,,,,,,,,,
546,21,,1,,,,,,,
547,31,,,,,,,,,
548,,,1,,,,,,,
549,9,,,,,,,,,
550,,,1,,,,,,,
551,31,,,,,,,,,
552,7,,3,,4,,,,,
553,5,,1,,,,,,,
554,,,,,,,,,,
555,15,,1,,,,,,,
556,,,,,,,,,,
557,11,,32,,,,,,,
558,27,,54,,,,1,,2,
559,5,1,,,,,,,,23
560,5,,1,,,,,,,
561,20,,,,,,,,,
562,15,,,,4,,,,2,11
563,31,,,,,,,,,
564,14,,,,,,,,,
565,31,,,,,,,,,
566,7,,2,,3,,,,,8
567,36,,1,,,,,,,
568,,,394,,,,,,,
569,,,1,,,,,,,
570,19,,,,,,,,,
571,13,,,,,,,,,
572,8,,20,3,4,1,,,,8
573,,,1,,,,,,,
574,31,,,,,,,,,
575,,,,,,,,,,
576,24,1,2,,,,,,,163
577,,,1,,,,,,,
578,12,,,,,,,,,
579,35,,1,,,,,,,
580,31,,,,,,,,,
581,13,,1,,,,,,,
582,17,,,,,,,,,
583,10,,,,4,,,,2,11
584,36,,1,,,,,,,
585,31,,,,,,,,,
586,26,,,,,,,,,
587,3,,2,3,,,,,,10
588,21,,,,,,,,,
589,19,,52,,,,1,,2,
590,30,,12,,,,,,,
591,35,,,,,,,,,
592,9,,,,,,,,,
593,34,,1,2,,,,,,
594,2,1,10,,,,,,,
595,18,,1,,,,,,,
596,,,,,,,,,,
597,,,4,,,,,,,
598,,,,,,,,,,
599,5,,,,,,,,,
600,29,,1,,,,,,,
601,2,1,6,3,,,,,,
602,33,,1,,,,,,,
603,54,,1,,,,,,,
604,12,,,,,,,,,
605,986,,,,,,,,,
606,,,394,,,,,,,
607,34,,,,,,,,,
608,,,,,,,,,,
609,,,,,,,,,,
610,37,,10,,,,,,,
611,38,,,4,5,,,,,
612,970,,12,6,,,,,,5
613,,,,,,,,,,
614,15,,1,,,,,,,
615,3,,1,2,,,,,,
616,10,,20,3,4,1,,,,8
617,29,,56,,,,,,,
618,9,,,,,,,,,
619,,,,,,,,,,
620,20,,1,,,,,,,2
621,6,,,,,,,,,
622,15,,198,3,,,,,,22
623,15,,,,,,,,,
624,,,,,,,,,,
625,7,,1,,,,,,,
626,39,,,,,,,,,
627,,,,,,,,,,
628,3,1,,,,,,,,82
629,22,1,94,,,,,,,
630,7,,394,,,,,,,44
631,10,1,32,,,,,,,
632,9,1,323,,,,2,,3,27
633,,,,,,,,,,
634,,,,,,,,,,
635,2,1,7,,,,,,,
636,22,,,,,,,,,
637,25,,60,,,,,,,34
638,31,,,,,,,,,
639,13,,,,,,,,,
640,33,,,,,,,,,3
641,29,,80,,,,,,,38
642,8,,1,,,,,,,
643,12,,,,,,,,,
644,7,,,,,,,,,
645,2,1,6,4,,,,,,
646,31,,,,,,,,,
647,,,394,,,,,,,
648,9,1,94,,,,,,,
649,,,,,,,,,,
650,,,,,,,,,,
651,5,,54,,5,,,,,
652,,,,,,,,,,
653,22,,,,,,,,,
654,10,,,,4,,,,2,11
655,10,,2,,,,,,,49
656,8,,1,,,,,,,
657,4,1,4,3,,,,,,
658,,,,,,,,,,
659,14,,,,,,,,,
660,19,,,,,,,,,
661,17,,,,,,,,,
662,31,,,,,,,,,
663,7,,,,,,,,,
664,7,,,,,,1,,,2
665,,,,,,,,,,
666,974,,10,,,,,,,29
667,,,,,,,,,,
668,38,,,4,5,,,,,
669,19,,1,,,,,,,
670,22,,4,,,,,,,
671,21,1,16,,,,,,,73
672,,,64,,,,,,,
673,,,,,,,,,,
674,4,,1,,,,,,,
675,31,,,,,,,,,
676,,,,,,,,,,
677,23,,,,,,,,,
678,31,,,,,,,,,
679,,,,,,,,,,
680,28,,,,,,,,,
681,,,96,,,,,,,
682,,,,,,,,,,
683,2,1,1,,,,,,,
684,,,,,,,,,,
685,,,,,,,,,,
686,34,,1,2,,,,,,
687,,,1,,,,,,,
688,9,,,,,,,,,
689,,,394,,,,,,,
690,,,1,,,,,,,
691,14,,328,,,,,,,
692,18,,,,,,,,,
693,3,,,,4,,,,2,24
694,8,,,,,,,,,
695,12,,,,,,,,,
696,3,1,92,,4,,,,2,
697,11,,,,,,,,,
698,,,,,,,,,,
699,10,,,,,,,,,
700,6,,1,,,,,,,
701,31,,,,,,,,,
702,22,1,,,,,,,,82
703,9,,2,,,,,,,
704,12,,12,6,,,,,,5
705,5,,1,,,,,,,
706,,,1,,,,,,,
707,10,,,,4,,,,2,11
708,27,,,,,,,,,
709,,,1,,,,,,,
710,19,,,,,,,,,
711,,,,,,,,,,
712,,,64,,,,,,,
713,,,,,,,,,,
714,4,,60,,,,,,,34
715,38,,,4,5,,,,,
716,27,,9,,,,,,,
717,24,,,,,,,,,
718,,,394,,,,,,,
719,10,,,,4,,,,2,19
720,3,,,,4,,,,2,21
721,11,,,,,,,,,
722,,,1,,,,,,,
723,11,,,,,,,,,
724,8,,,,,,,,,
725,,,,,,,,,,
726,18,,1,,,,,,,
727,5,,27,,,,,,,7
728,28,1,52,,,,,,,18
729,,,1,,,,,,,
730,,,,,,,,,,
731,3,,1,,,,,,,8
732,6,,,,,,,,,
733,31,,,,,,,,,
734,,,394,,,,,,,
735,44,,3,,,,,,,
736,34,,54,,5,,,,,
737,,,64,,,,,,,
738,32,,93,,,,,,,4
739,31,,,,,,,,,
740,2,1,6,3,,,,,,
741,16,,,,,,,,,
742,5,,,,,,,,,
743,23,,17,8,,,,,2,12
744,8,,,,,,,,,
745,15,,1,,,,,,,
746,19,,,,,,,,,
747,16,1,94,,,,,,,
748,,,394,,,,,,,
749,11,,1,,,,,,,
750,32,,93,,,,,,,4
751,,,,,,,,,,
752,,,,,,,,,,
753,13,,1,,,,,,,
754,20,,,,,,,,,
755,,,96,,,,,,,
756,31,,,,,,,,,
757,16,1,62,,4,,,,2,52
758,7,,,,4,,,,2,24
759,2,1,6,4,,,,,,
760,31,,,,,,,,,
761,6,,1,,,,,,,
762,12,,,,,,,,,
763,18,,,,,,,,,
764,16,,1,,,,,,,
765,,,,,,,,,,
766,22,1,16,,,,,,,73
767,42,,,,,,,,,
768,6,,,,,,,,,
769,31,,,,,,,,,
770,24,,,,,,,,,
771,31,,,,,,,,,
772,13,,2,3,,,,,2,
773,8,,,,,,,,,
774,9,,1,,,,,,,
775,31,,,,,,,,,
776,,,1,,,,,,,
777,10,,,,,,,,,
778,6,,56,,,,,,,
779,47,,1,,,,,,3,11
780,31,,,,,,,,,
781,3,1,25,,,,,,2,24
782,2,1,12,3,,,,,,
783,31,,,,,,,,,
784,,,,,,,,,,
785,6,,,,,,,,,
786,32,1,,3,,,1,,2,
787,19,1,1,,,,,,,
788,47,,1,,,,,,3,11
789,,,9,,,,,,,
790,11,,,,,,,,,
791,,,,,,,,,,
792,,,1,,,,,,,
793,33,,,,,,,,,
794,5,,21,,1,,,,,25
795,23,,,,,,,,,
796,46,,,,4,,,,2,24
797,31,,,,,,,,,
798,5,,31,,,,,,,
799,22,1,94,,,,,,,
800,4,,,,,,,,,
801,20,,394,,,,,,,44
802,8,,2,,2,,,,,
803,30,,2,,3,,,,,8
804,38,,,4,5,,,,,
805,,,,,,,,,,
806,3,,46,,,,,,,3
807,,,,,,,,,,
808,,,,,,,,,,
809,3,,15,,,,,,,
810,5,,,,,,,,,
811,25,,,,,,,,,
812,31,,,,,,,,,
813,11,,,,,,,,,
814,19,,,,,,,,,
815,,,2,,,,,,,
816,24,,1,,,,,,,
817,21,1,4,,,,,,,6
818,31,,,,,,,,,
819,,,2,,,,,,,
820,24,,,,,,,,,
821,5,,,,,,,,,
822,31,,,,,,,,,
823,49,,1,,,,,,,
824,7,1,94,,,,,,,
825,12,,20,,,,,,,29
826,31,,,,,,,,,
827,,,,,,,,,,
828,3,1,94,,,,,,,
829,24,1,18,,,,,,,6
830,34,,,,,,,,,
831,33,,2,,,,,,,
832,19,,,,,,,,,
833,,,,,,,,,,
834,30,,1,,,,,,,
835,15,,1,2,,,,,,
836,31,,,,,,,,,
837,34,,1,2,,,,,,
838,15,,,,,,,,,
839,5,,,,4,,,,2,24
840,38,1,42,,,,,,,
841,,,,,,,,,,
842,23,,4,5,3,,,,3,45
843,,,1,,,,,,,
844,7,,1,,,,,,,
845,23,,,,,,,,,
846,,,,,,,,,,
847,,,,,,,,,,
848,4,1,81,,5,,,,,
849,8,,60,,,,,,,
850,31,,,,,,,,,
851,,,1,,,,,,,
852,13,1,92,3,6,1,,,,16
853,22,1,94,,,,,,,
854,19,,,,,,,,,
855,27,1,31,,,,,,,53
856,18,1,81,,5,,,,,
857,,,394,,,,,,,
858,19,,,,,,,,,
859,21,,,,,,,,,
860,,,,,,,,,,
861,,,1,,,,,,,
862,31,,,,,,,,,
863,9,,1,,,,,,,
864,31,,,,,,,,,
865,11,,,,,,,,,
866,3,1,,,,,,,,56
867,3,,10,,,,,,,
868,8,,,,,,,,,
869,15,,198,3,,,,,,22
870,7,,1,,,,,,,
871,34,,1,2,,,,,,
872,5,,3,,,,,,,5
873,21,1,323,,,,2,,3,27
874,,,,,,,,,,
875,13,1,8,7,,,2,,,80
876,3,,,,,,,,,
877,31,,,,,,,,,
878,32,,36,2,,,,,,
879,20,,1,,,,,,,
880,19,,,,,,,,,
881,5,1,,,,,,,,44
882,2,1,7,,,,,,,
883,986,,,,,,,,,
884,9,,20,3,4,1,,,,8
885,34,,1,2,,,,,,
886,31,,,,,,,,,
887,6,,46,,,,,,,3
888,8,,60,,,,,,,
889,31,,,,,,,,,
890,7,,198,3,,,,,,22
891,,,,,,,,,,
892,6,,11,,,,,,2,4
893,,,1,,,,,,,
894,32,,72,,,,,,,
895,10,,,,4,,,,2,21
896,,,,,,,,,,
897,34,,54,,5,,,,,
898,13,,,,,,,,,
899,10,,,,4,,,,2,11
900,,,,,,,,,,
901,31,,,,,,,,,
902,,,96,,,,,,,
903,31,,,,,,,,,
904,,,1,,,,,,,
905,2,,4,,,,,,,
906,,,1,,,,,,,
907,,,,,,,,,,
908,10,1,94,,,,,,,
909,8,,,,,,,,,
910,17,,,,,,,,,
911,,,,,,,,,,
912,,,1,,,,,,,
913,9,,,,,,,,,
914,31,,,,,,,,,
915,34,,,,,,,,,
916,5,,60,,,,,,,
917,,,,,,,,,,
918,,,132,,,,,,,
919,20,,1,,,,,,,2
920,25,1,30,,,,,,,18
921,10,,20,3,4,1,,,,8
922,31,,,,,,,,,
923,,,1,,,,,,,
924,31,,,,,,,,,
925,7,,,,,,,,,
926,10,,,,4,,,,2,19
927,2,1,1,,,,,,,
928,38,,,,,,,,,
929,,,,,,,,,,
930,9,1,,,3,,,,,
931,9,1,94,,,,,,,
932,3,,,,4,,,,2,24
933,31,,,,,,,,,
934,5,,1,,5,,,,2,96
935,34,,1,2,,,,,,
936,31,,,,,,,,,
937,,,394,,,,,,,
938,30,,2,,3,,,,,8
939,31,,,,,,,,,
940,4,,2,,2,,,,,
941,30,,1,,,,,,,
942,31,,,,,,,,,
943,23,1,92,,4,,,,2,
944,31,,,,,,,,,
945,3,,,,,,,,,
946,10,,1,,,,,,,
947,11,,,,,,,,,
948,2,1,1,,,,,,,
949,10,,,,,,,,,
950,,,,,,,,,,
951,20,,12,6,,,,,,5
952,5,,,,,,,,,
953,13,1,1,,4,,,,,34
954,4,,,,,,,,,
955,10,,,,4,,,,2,24
956,59,,,,,,,,2,
957,,,1,,,,,,,
958,9,,1,,,,,,,
959,27,1,25,,,,,,2,24
960,6,,2,3,,,,,,10
961,,,,,,,,,,
962,27,1,31,,,,,,,53
963,,,,,,,,,,
964,32,,56,,,,,,,
965,22,1,94,,,,,,,
966,31,,,,,,,,,
967,7,,,,,,,,,
968,9,,1,,,,,,,
969,38,,2,,,,,,,
970,12,1,94,,,,,,,
971,,,,,,,,,,
972,27,,17,,,,,,2,21
973,31,,,,,,,,,
974,8,,2,,,,,,,
975,975,,11,,,,,,2,4
976,31,,,,,,,,,
977,22,1,16,,,,,,,73
978,4,,,,,,,,,3
979,27,,52,,,,1,,2,
980,,,,,,,,,,
981,,,1,,,,,,,
982,,,1,,,,,,,
983,5,,,,,,,,,
984,38,,,,,,,,,
985,,,,,,,,,,
986,,,58,,,,,,,
987,975,,3,,,,,,,6
988,,,1,,,,,,,
989,,,,,,,,,,
990,7,,,,,,,,,
991,,,1,,,,,,,
992,33,,,,,,,,,3
993,6,,,,,,1,,,2
994,31,,,,,,,,,
995,22,,2,3,,,,,,10
996,,,1,,,,,,,
997,,,,,,,,,,
998,27,1,31,,,,,,,53
999,,,,,1,,1,,,
1000,,,1,,,,,,,
1001,19,,,,,,,,,
1002,12,,5,,,,,,,
1003,2,1,6,4,,,,,,
1004,7,,15,,,,,,,
1005,,,1,,,,,,,
