ad_id,time,age,gender,area,status,education,consuptionAbility,device,work,connectionType,behavior
2490,2019-03-06 10:52:54,,,1,,,,,,,
2503,2019-02-21 13:22:00,,,1,,,,,,,
2563,2019-02-25 09:50:54,965,,15,,,,,,,
2569,2019-01-13 05:35:01,31,,,,,,,,,
2593,2019-03-16 10:33:03,12,,8,,,,,,,
2619,2019-03-11 07:12:43,,,1,,,,,,,
2679,2019-03-01 09:54:29,,,1,,,,,,,
2704,2018-12-20 08:31:26,,,1,,,,,,,
2714,2019-02-22 18:24:48,,,32,,,,,,,
2746,2018-12-22 04:36:11,,,1,,,,,,,
2758,2018-02-28 00:49:23,,,,,,,,,,
2761,2016-11-15 09:51:40,,,,,,,,,,
2823,2019-03-15 16:52:40,,,,,,,,,,
2826,2019-03-15 05:40:16,,,1,,,,,,,
2829,2019-03-07 12:25:21,7,1,1,1,1,,,,,1
2842,2019-02-17 10:32:15,31,,,,,,,,,
2864,2019-03-01 12:02:06,34,,1,2,,,,,,
2888,2018-12-19 11:40:16,31,,,,,,,,,
2890,2018-12-19 04:31:25,31,,,,,,,,,
2946,2019-03-13 17:23:56,3,,1,,,,,,,
2950,2019-02-28 22:26:10,,,,,,,,,,
2954,2019-02-25 19:02:17,,,1,,,,,,,
2961,2019-03-13 05:38:23,,,,,,,,,,
2966,2019-02-25 08:54:50,31,,,,,,,,,
2983,2019-03-01 12:52:06,,,,,,,,,,
3066,2018-09-03 19:09:53,22,1,,,4,,,,2,
3073,2019-01-11 10:53:48,17,1,1,,,,,,,154
3104,2018-01-04 12:48:13,,,1,,,,,,,
3107,2019-03-06 08:34:28,17,1,2,3,,,,,2,
3112,2019-02-23 05:38:25,,,1,,,,,,,
3128,2019-03-01 13:02:15,,,1,,,,,,,
3197,2018-11-02 04:44:19,,,1,,,,,,,
3202,2019-03-02 15:05:26,51,,90,,,,,,,
3229,2018-12-25 04:52:53,,,1,,,,,,,
3230,2019-03-19 20:02:23,,,1,,,,,,,
3234,2018-07-04 11:27:25,,,,,,,,,,
3253,2019-02-26 17:52:09,,,,,,,,,,
3358,2019-03-13 13:36:49,8,1,5,,,,,,,
3405,2019-03-15 05:41:01,31,,,,,,,,,
3407,2019-02-24 05:46:46,,,1,,,,,,,
3444,2018-01-03 11:56:11,,,1,,,,,,,
3445,2019-03-01 05:33:49,,,1,,,,,,,
3463,2019-03-13 19:02:11,,,,,,,,,,
3491,2019-01-21 16:31:39,32,,56,,,,,,,6
3493,2018-11-08 07:00:14,,,1,,,,,,,
3513,2019-03-08 05:40:14,,,1,,,,,,,
3522,2019-03-02 15:04:14,51,,90,,,,,,,
3527,2019-03-10 05:38:34,31,,,,,,,,,
3554,2019-03-18 17:52:22,,,,,,,,,,
3571,2019-03-11 19:52:11,,,,,,,,,,
3598,2018-01-31 00:35:41,,,,,,,,,,
3688,2019-02-26 13:52:20,,,,,,,,,,
3692,2018-06-30 04:55:09,,,1,,,,,,,
3729,2019-03-09 11:03:24,12,1,7,,3,,,,,
3735,2019-02-19 16:20:33,19,,2,,,,,,,32
3769,2019-03-12 17:14:55,10,,,,3,,,,,32
3786,2019-03-05 11:52:44,,,1,,,,,,,
3788,2018-01-08 01:32:56,,,1,,,,,,,
3799,2018-06-22 10:50:36,31,,,,,,,,,
3824,2019-03-14 14:52:26,31,,,,,,,,,
3849,2018-11-04 10:02:46,31,,,,,,,,,
3854,2019-01-23 14:20:21,49,,54,,,,,,,
3868,2019-02-13 16:18:14,23,,3,,,,,,,89
3922,2019-01-24 20:11:44,34,,1,2,,,,,,
3958,2019-03-12 10:09:56,,,3,,1,,,,2,
3996,2018-10-26 13:30:06,,,1,,,,,,,
4001,2019-02-28 19:32:00,,,,,,,,,,
4004,2018-08-02 11:19:01,22,,1,,5,,,,,8
4020,2019-02-24 05:35:17,31,,,,,,,,,
4022,2019-03-15 16:45:08,37,,1,,,,,,,177
4033,2019-03-18 15:57:29,,,,,,,,,,2
4085,2019-01-16 05:37:54,31,,,,,,,,,
4115,2019-03-14 18:52:13,,,,,,,,,,
4147,2019-02-24 21:18:43,12,,2,,,,,,,
4157,2019-02-21 05:36:04,,,1,,,,,,,
4160,2018-12-19 15:40:17,,,1,,,,,,,
4162,2019-03-09 12:22:48,,,,,,,,,,
4164,2019-03-18 10:26:27,27,,8,,,,,,2,17
4168,2019-02-23 05:38:10,,,1,,,,,,,
4184,2018-01-08 01:32:37,,,1,,,,,,,
4227,2019-02-28 16:02:17,,,32,,,,,,,
4238,2019-03-14 12:52:36,,,,,,,,,,
4274,2019-02-18 14:40:58,,,,,,,,,,
4286,2018-12-20 07:03:28,31,,,,,,,,,
4287,2018-12-19 05:08:59,31,,,,,,,,,
4313,2019-03-02 16:12:24,45,1,2,,,,,,,
4344,2019-02-16 15:32:51,,,376,,,,,,,
4385,2019-02-22 05:36:40,31,,,,,,,,,
4392,2019-02-28 21:51:55,,,,,,,,,,
4462,2019-02-20 22:51:35,38,,,,,,,,,
4484,2019-02-19 14:58:57,,,,,,,,,,
4485,2019-03-12 16:52:25,,,1,,,,,,,
4587,2019-03-15 16:15:42,975,,10,,,,,,,
4606,2019-02-22 12:52:38,,,1,,,,,,,
4639,2018-12-19 04:54:09,31,,,,,,,,,
4758,2019-02-13 16:27:44,17,,1,2,,,,,2,16
4771,2019-03-15 11:56:50,30,,12,,,,,,,
4778,2018-03-14 16:38:30,,,1,,,,,,,
4801,2019-02-20 07:03:14,,,1,,,,,,,
4803,2019-02-20 07:03:05,,,1,,,,,,,
4872,2019-03-01 10:52:22,,,1,,,,,,,
4889,2019-02-08 05:33:46,31,,,,,,,,,
4901,2019-03-11 18:42:18,38,,,,,,,,,
4952,2019-02-07 11:32:40,34,,1,2,,,,,,
4964,2019-03-11 23:14:20,,,1,,,,,,,
4981,2019-03-03 05:35:41,,,1,,,,,,,
5015,2019-03-06 16:40:17,,,86,,,,,,,
5021,2019-03-11 16:51:30,961,,1,,4,,,,2,24
5049,2018-08-09 16:10:31,,,1,,,,,,,
5078,2018-11-01 04:36:11,31,,,,,,,,,
5097,2019-03-11 14:50:57,12,,1,,,,,,,
5100,2018-12-20 04:36:32,,,1,,,,,,,
5104,2018-01-03 12:13:10,,,1,,,,,,,
5114,2019-03-11 15:32:18,31,,,,,,,,,
5166,2018-11-23 13:50:18,,,1,,,,,,,
5173,2019-02-27 17:51:57,,,1,,,,,,,
5175,2019-03-17 05:34:42,31,,,,,,,,,
5176,2019-03-01 05:42:51,34,,1,2,,,,,,
5227,2019-02-27 07:03:17,31,,,,,,,,,
5241,2019-02-25 05:35:03,31,,,,,,,,,
5262,2018-08-09 10:41:19,,,1,,,,,,,
5305,2018-12-14 14:13:09,31,,,,,,,,,
5315,2019-03-18 16:04:56,960,1,59,,,,,,,123
5326,2019-02-23 09:02:21,,,1,,,,,,,
5339,2019-03-14 08:32:42,31,,,,,,,,,
5342,2019-03-14 15:22:25,31,,,,,,,,,
5359,2019-02-18 07:02:44,,,1,,,,,,,
5364,2019-03-12 05:38:16,31,,,,,,,,,
5416,2019-02-17 07:03:25,,,1,,,,,,,
5426,2019-02-26 14:19:34,12,1,18,,,,,,,
5432,2019-03-06 22:50:29,27,1,56,,,,,,,
5504,2019-03-14 16:00:01,22,,1,,,,,,,
5557,2019-02-12 18:26:36,32,,1,,,,,,,
5560,2019-03-04 20:02:14,,,1,,,,,,,
5562,2019-01-09 15:15:01,,,3,,,,,,,
5574,2019-03-02 09:37:08,29,,64,,,,,,,98
5617,2019-03-14 05:37:55,,,,,,,,,,
5658,2019-02-22 05:36:42,,,1,,,,,,,
5682,2018-10-26 11:21:43,,,1,,,,,,,
5706,2019-02-23 05:37:40,,,1,,,,,,,
5716,2018-11-21 04:30:38,34,,1,2,,,,,,
5719,2018-10-25 04:44:13,34,,1,2,,,,,,
5726,2018-11-02 04:44:46,31,,,,,,,,,
5730,2019-03-04 17:52:30,,,,,,,,,,
5747,2019-03-04 18:02:25,,,,,,,,,,
5754,2018-01-05 14:16:47,,,1,,,,,,,
5814,2019-02-17 05:34:07,,,1,,,,,,,
5829,2019-03-05 05:35:34,,,1,,,,,,,
5915,2019-03-06 18:07:42,,,2,,,,,,,
5921,2018-01-02 12:14:05,38,,,,,,,,,
5980,2019-03-13 15:19:16,960,1,26,,,,,,,2
6017,2018-12-20 07:08:56,31,,,,,,,,,
6020,2019-03-01 17:45:56,51,,90,,,,,,,
6024,2019-03-10 05:39:25,,,1,,,,,,,
6063,2018-11-03 07:00:22,31,,,,,,,,,
6067,2019-03-01 18:02:13,,,,,,,,,,
6071,2019-03-12 16:55:13,,,,,,,,,,
6084,2018-01-09 01:13:22,,,1,,,,,,,
6102,2019-02-15 15:51:55,,,1,,,,,,,
6105,2018-11-01 04:33:52,31,,,,,,,,,
6114,2019-01-23 17:03:07,27,,2,,4,,,,,
6126,2019-03-05 21:52:26,,,,,,,,,,
6129,2019-03-06 05:35:02,,,1,,,,,,,
6171,2018-04-24 18:11:56,995,,2,,,,,,,
6173,2019-01-31 14:14:50,11,,1,3,,,,,,
6211,2019-03-19 10:52:44,31,,,,,,,,,
6226,2019-03-01 22:51:51,,,1,,,,,,,
6243,2019-02-21 05:32:47,,,1,,,,,,,
6278,2018-12-20 07:12:48,31,,,,,,,,,
6300,2019-02-25 11:40:18,,,96,,,,,,,
6313,2018-08-23 18:02:00,,,1,,,,,,,
6353,2019-02-26 07:02:55,,,1,,,,,,,
6437,2019-03-06 05:40:05,,,,,,,,,,
6456,2019-03-02 13:32:02,,,1,,,,,,,
6459,2019-03-01 14:22:39,31,,,,,,,,,
6501,2019-03-02 17:12:00,,,1,,,,,,,
6517,2019-02-28 07:04:52,31,,,,,,,,,
6526,2018-11-15 04:31:17,,,1,,,,,,,
6558,2019-03-05 12:52:41,,,,,,,,,,
6560,2019-01-18 18:14:34,,,64,,,,,,,
6637,2019-02-28 12:51:58,,,1,,,,,,,
6643,2019-02-22 05:37:42,,,1,,,,,,,
6650,2019-02-27 12:52:15,,,,,,,,,,
6683,2019-01-16 05:42:30,31,,,,,,,,,
6718,2017-08-21 10:54:53,22,,,,,,,,,
6745,2019-03-19 10:15:32,42,,,,,,,,,
6747,2018-12-19 04:50:43,31,,,,,,,,,
6754,2019-03-07 17:37:42,,,1,,,,,,,5
6773,2018-01-04 01:19:42,38,,,,,,,,,
6779,2018-12-18 20:11:27,31,,,,,,,,,
6800,2019-03-17 13:52:39,31,,,,,,,,,
6803,2019-02-26 19:51:56,,,1,,,,,,,
6851,2018-11-11 04:30:29,31,,,,,,,,,
6852,2019-03-12 05:38:00,,,1,,,,,,,
6853,2019-02-26 17:52:10,,,1,,,,,,,
6886,2018-01-28 17:10:24,,,1,,,,,,,
6895,2019-03-18 17:57:33,34,,112,,,,,,,
6901,2019-03-01 05:47:36,31,,,,,,,,,
6944,2019-02-13 10:44:30,31,,,,,,,,,
6968,2018-11-03 04:42:04,31,,,,,,,,,
6977,2018-08-06 04:35:42,,,1,,,,,,,
6998,2019-02-16 18:33:10,,,1,,,,,,,
7014,2019-03-11 09:42:20,14,,,,2,,,,,31
7043,2018-12-19 04:42:56,,,1,,,,,,,
7047,2018-12-30 12:32:32,31,,,,,,,,,
7080,2018-11-01 11:50:18,38,,,,,,,,,
7098,2018-08-17 10:02:35,,,1,,,,,,,
7106,2019-03-18 11:24:41,32,1,32,,,,,,,1
7145,2019-03-14 12:52:40,,,,,,,,,,
7157,2019-03-09 09:25:24,,,,,,,,,,
7163,2019-03-01 18:26:36,27,1,228,,,,,,,9
7193,2018-12-20 04:54:28,31,,,,,,,,,
7204,2019-02-25 19:51:54,,,1,,,,,,,
7342,2018-11-26 04:40:11,31,,,,,,,,,
7357,2019-03-09 14:00:34,38,1,28,,,,,,,
7384,2018-01-08 01:32:02,,,1,,,,,,,
7448,2018-01-03 11:43:32,,,1,,,,,,,
7452,2019-02-20 14:43:06,,,3,,,,,,,
7458,2018-11-29 04:30:45,31,,,,,,,,,
7480,2018-12-20 07:10:35,31,,,,,,,,,
7485,2019-03-07 17:08:20,41,,1,,5,,,,,
7536,2019-02-16 16:04:51,16,,,,,,,,,22
7578,2019-03-04 05:35:29,,,1,,,,,,,
7626,2019-03-03 05:35:53,,,1,,,,,,,
7657,2018-06-27 14:02:17,,,1,,,,,,,
7658,2019-01-17 10:52:20,,,1,,,,,,,
7678,2018-12-29 08:02:16,31,,,,,,,,,
7699,2019-03-01 13:02:09,,,1,,,,,,,
7724,2019-01-16 20:54:58,,,1,,,,,,,
7753,2019-01-26 23:51:43,,,1,,,,,,,
7773,2019-01-14 05:46:48,,,1,,,,,,,
7781,2019-02-28 16:33:49,,,32,,,,,,,
7790,2019-03-01 11:31:48,,,1,,,,,,,
7852,2019-01-14 05:46:34,,,1,,,,,,,
7882,2018-12-26 04:35:43,31,,,,,,,,,
7883,2019-03-06 15:00:04,,,176,,,,,,,
7886,2018-01-08 01:32:17,,,1,,,,,,,
7917,2019-03-15 16:23:09,30,1,3,,,,,,,37
7930,2019-03-13 11:47:14,975,,21,,,,,,,7
7950,2019-03-08 19:12:14,22,,38,,,,,,2,55
7954,2019-02-20 16:47:38,31,,,,,,,,,
7965,2019-03-02 13:32:08,,,1,,,,,,,
7998,2019-02-26 07:02:41,,,1,,,,,,,
8003,2019-02-12 15:23:36,8,,4,,3,,,,,27
8076,2019-02-17 14:23:31,,,1,,,,,,,
8109,2019-03-10 13:02:40,31,,,,,,,,,
8144,2018-12-19 04:58:55,31,,,,,,,,,
8149,2019-03-11 18:52:10,,,,,,,,,,
8223,2019-02-28 05:36:19,,,,,,,,,,
8252,2018-01-04 12:54:04,,,1,,,,,,,
8260,2019-03-05 16:01:08,960,1,60,,,,,,,20
8288,2017-03-11 16:11:54,19,,,,,,,,,
8304,2019-03-04 20:02:28,,,1,,,,,,,
8323,2019-03-08 18:04:35,,,4,,,,,,,
8345,2018-10-25 04:33:04,,,1,,,,,,,
8350,2019-02-18 05:37:00,,,1,,,,,,,
8354,2018-11-23 16:00:29,,,1,,,,,,,
8392,2019-01-21 16:23:51,32,,56,,,,,,,6
8409,2019-03-13 17:11:07,10,,30,,,,,,,
8427,2019-02-13 05:35:42,31,,,,,,,,,
8428,2019-02-15 22:42:47,17,,56,,,,,,2,52
8466,2019-02-22 05:49:18,,,1,,,,,,,
8468,2019-03-11 13:47:14,51,,88,,,,,,,
8476,2019-02-27 12:52:04,,,1,,,,,,,
8477,2019-02-23 18:30:23,9,1,5,,,,,,,
8493,2018-08-09 11:45:10,,,1,,,,,,,
8495,2019-02-26 13:52:01,,,,,,,,,,
8505,2019-02-28 09:22:04,31,,,,,,,,,
8510,2019-03-13 15:52:30,,,,,,,,,,
8522,2018-08-22 12:00:23,,,1,,,,,,,
8594,2018-11-10 19:00:21,,,1,,,,,,,
8600,2019-02-28 12:52:13,,,1,,,,,,,
8607,2018-10-09 15:00:11,,,1,,,,,,,
8614,2019-03-06 14:52:27,,,1,,,,,,,
8623,2019-02-23 05:38:00,,,1,,,,,,,
8705,2019-03-19 13:34:55,24,1,18,,,,,,,5
8709,2019-02-13 05:33:17,31,,,,,,,,,
8761,2019-01-07 05:34:59,,,1,,,,,,,
8773,2017-06-21 18:29:33,,,,,,,,,,
8780,2019-01-18 07:04:10,,,1,,,,,,,
8781,2018-10-24 19:21:00,,,1,,,,,,,
8787,2019-03-12 15:52:32,,,,,,,,,,
8794,2019-02-23 05:37:09,,,1,,,,,,,
8804,2018-08-09 11:45:24,,,1,,,,,,,
8847,2017-07-06 12:57:01,,,,,,,,,,
8853,2018-12-19 05:00:48,31,,,,,,,,,
8940,2019-03-11 11:42:46,31,,,,,,,,,
8974,2019-02-24 05:35:27,,,1,,,,,,,
8977,2018-10-31 18:31:07,31,,,,,,,,,
8980,2019-01-26 05:40:45,,,1,,,,,,,
8985,2019-03-18 22:13:53,,,,,,,,,,
8996,2019-02-26 18:11:52,38,,,,,,,,,
9031,2019-02-26 13:35:30,,,,,,,,,,
9066,2019-03-16 15:29:25,,,,,,,,,,
9079,2019-02-25 22:51:42,,,1,,,,,,,
9085,2019-03-17 19:17:08,22,1,94,,,,,,,
9095,2019-03-07 15:52:35,,,,,,,,,,
9103,2019-03-17 08:39:07,,,,,,,,,,
9122,2019-02-14 05:35:35,31,,,,,,,,,
9235,2018-11-14 16:40:06,,,1,,,,,,,
9245,2019-03-05 10:23:24,31,,,,,,,,,
9262,2019-03-06 17:02:44,,,,,,,,,,
9284,2019-01-11 05:35:23,,,1,,,,,,,
9306,2019-03-09 14:52:30,,,,,,,,,,
9314,2018-12-20 14:23:01,31,,,,,,,,,
9321,2019-03-13 18:12:29,,,,,,,,,,
9333,2018-12-02 10:04:36,,,1,,,,,,,
9369,2019-03-10 10:02:56,31,,,,,,,,,
9376,2019-02-23 15:25:36,11,1,4,,,,,,,
9406,2019-03-12 08:49:12,2,,3,3,,,,,,
9437,2019-03-05 08:44:10,28,,2,,4,,,,,
9450,2019-03-08 05:40:56,,,1,,,,,,,
9452,2019-02-22 12:52:21,,,1,,,,,,,
9457,2019-02-22 18:47:57,32,,2,,,,,,2,2
9545,2019-03-10 12:52:46,,,1,,,,,,,
9615,2019-03-05 21:03:38,975,,208,,,,,,,68
9619,2019-03-08 09:38:23,982,,2,,,,,,,
9674,2019-02-15 05:36:03,31,,,,,,,,,
9710,2019-03-15 14:36:50,24,1,46,,,,,,2,16
9723,2019-02-18 07:02:10,,,1,,,,,,,
9728,2019-03-03 15:52:06,,,,,,,,,,
9745,2018-06-29 14:01:07,,,1,,,,,,,
9779,2019-03-14 14:51:32,51,,176,,,,,,,
9830,2018-11-01 04:44:33,31,,,,,,,,,
9835,2019-03-07 09:52:54,,,,,,,,,,
9856,2019-02-21 05:36:04,31,,,,,,,,,
9871,2018-12-27 20:51:51,31,,,,,,,,,
9912,2019-03-02 05:36:21,,,1,,,,,,,
9927,2019-02-27 18:31:52,31,,,,,,,,,
9970,2018-10-31 18:31:35,31,,,,,,,,,
9979,2018-08-15 10:30:27,38,,57,,,1,,,,62
10003,2019-01-16 07:03:43,,,1,,,,,,,
10063,2018-11-25 04:30:09,,,1,,,,,,,
10077,2019-02-27 22:01:43,31,,,,,,,,,
10087,2019-02-12 10:22:00,12,1,1,,,,,,2,94
10128,2019-03-12 05:37:49,31,,,,,,,,,
10134,2019-02-28 05:36:20,31,,,,,,,,,
10167,2018-10-09 18:22:26,31,,,,,,,,,
10175,2018-09-07 19:41:40,,,1,,,,,,,
10177,2019-02-27 05:33:59,,,1,,,,,,,
10207,2019-02-22 05:36:58,,,1,,,,,,,
10214,2018-10-18 09:51:59,34,,1,2,,,,,,
10215,2019-03-19 09:18:11,32,,9,,,,,,,39
10216,2019-03-14 17:52:26,,,,,,,,,,
10223,2019-03-07 11:52:41,,,,,,,,,,
10228,2019-01-02 05:33:57,31,,,,,,,,,
10250,2019-02-27 05:35:26,,,1,,,,,,,
10306,2019-03-05 12:52:51,,,,,,,,,,
10348,2019-01-18 18:19:36,,,64,,,,,,,
10372,2019-03-08 19:02:17,,,,,,,,,,
10393,2017-10-12 14:58:19,,,,,,,,,,
10409,2019-03-13 15:52:22,31,,,,,,,,,
10423,2019-03-08 15:52:40,,,1,,,,,,,
10424,2019-02-28 05:36:22,31,,,,,,,,,
10436,2019-02-15 05:36:23,31,,,,,,,,,
10444,2018-08-14 11:30:40,,,1,,,,,,,
10468,2019-03-12 10:52:50,,,1,,,,,,,
10470,2018-02-01 19:38:14,,,,,,,,,,
10479,2019-03-07 05:39:33,34,,1,2,,,,,,
10480,2019-01-11 10:55:56,17,1,1,,,,,,,154
10492,2018-01-26 07:03:36,31,,,,,,,,,
10506,2019-03-03 14:01:58,31,,,,,,,,,
10519,2019-02-16 17:30:50,976,,5,,,,,,,
10587,2018-08-09 15:22:49,,,1,,,,,,,
10625,2018-11-03 04:42:28,31,,,,,,,,,
10669,2018-12-20 04:58:16,31,,,,,,,,,
10671,2019-02-19 05:43:16,,,1,,,,,,,
10684,2019-02-18 05:35:11,,,1,,,,,,,
10685,2019-02-21 05:36:10,,,1,,,,,,,
10698,2019-02-25 09:40:32,8,1,8,,,,,,,
10707,2018-12-19 05:00:23,31,,,,,,,,,
10710,2019-03-05 19:51:46,,,1,,,,,,,
10764,2018-12-23 04:37:26,,,1,,,,,,,
10806,2019-03-17 09:22:29,,,1,,,,,,,36
10811,2019-02-05 05:33:51,,,,,,,,,,
10863,2018-10-24 14:14:30,,,1,,,,,,,
10890,2018-10-13 14:52:17,,,1,,,,,,,
10916,2019-02-27 18:51:59,,,,,,,,,,
10998,2019-02-23 07:03:49,31,,,,,,,,,
11001,2019-03-07 18:32:23,,,,,,,,,,
11003,2019-01-21 16:50:54,29,,56,,,,,,,14
11012,2019-03-05 12:52:40,,,1,,,,,,,
11028,2019-02-24 05:35:19,,,1,,,,,,,
11052,2019-03-11 10:52:48,,,,,,,,,,
11054,2019-03-08 12:52:54,,,,,,,,,,
11092,2019-03-14 12:52:47,,,,,,,,,,
11158,2017-07-10 09:05:49,,,,,,,,,,
11199,2018-07-20 16:32:00,,,1,,,,,,,
11260,2019-02-18 05:35:05,31,,,,,,,,,
11286,2018-08-31 17:10:28,,,1,,,,,,,
11316,2019-03-15 15:52:39,,,,,,,,,,
11334,2019-03-06 16:52:22,,,2,,,,,,,
11420,2019-03-04 05:46:52,,,1,,,,,,,
11436,2019-02-20 05:45:30,31,,,,,,,,,
11481,2019-02-08 17:54:27,15,,1,,,,,,,
11483,2018-11-03 04:42:10,31,,,,,,,,,
11505,2019-03-10 05:39:34,,,1,,,,,,,
11550,2018-10-24 14:15:07,,,1,,,,,,,
11586,2018-12-20 04:49:07,31,,,,,,,,,
11611,2019-01-18 18:23:55,,,64,,,,,,,
11614,2018-01-17 01:10:05,,,1,,,,,,,
11717,2018-09-19 04:39:18,,,1,,,,,,,
11748,2019-02-27 14:52:06,,,,,,,,,,
11784,2018-01-04 13:46:37,,,1,,,,,,,
11793,2019-03-14 18:52:20,,,1,,,,,,,
11833,2018-12-18 21:20:52,,,1,,,,,,,
11874,2018-09-16 11:02:07,,,1,,,,,,,
11875,2018-12-23 04:37:26,,,1,,,,,,,
11907,2019-02-20 11:02:45,19,1,31,,,,,,2,1
11957,2018-08-22 12:02:38,,,1,,,,,,,
11993,2018-10-18 10:02:22,34,,1,2,,,,,,
12009,2019-03-05 14:12:13,,,124,,,,,,,
12033,2019-03-15 13:41:03,13,,,,,,,,,5
12037,2018-08-08 04:43:50,,,1,,,,,,,
12039,2018-10-24 14:19:55,,,1,,,,,,,
12047,2019-01-30 05:35:22,,,1,,,,,,,
12061,2019-01-13 05:35:18,31,,,,,,,,,
12101,2019-03-08 05:40:03,,,1,,,,,,,
12109,2019-02-28 17:47:14,,1,332,,,,,,4,2
12152,2018-10-31 18:22:06,31,,,,,,,,,
12153,2019-02-19 17:34:40,22,,30,,4,1,,,,4
12195,2019-01-21 17:16:01,30,,1,,3,,,,,
12219,2019-02-24 15:43:52,38,,,,,,,,,
12241,2019-03-10 18:52:31,,,1,,,,,,,
12266,2019-02-25 18:15:10,22,1,1,,,,,,,72
12272,2019-03-08 05:42:28,31,,,,,,,,,
12277,2019-03-09 19:02:29,,,1,,,,,,,
12295,2019-03-18 15:12:37,982,,11,,,,,,,
12304,2018-11-01 04:37:41,31,,,,,,,,,
12308,2018-08-29 12:51:40,,,1,,,,,,,
